categoria,porcentagem
Open Source,0.2222222222222222
Mobile,0.1111111111111111
Java,10.666666666666666
Software Engineering,1.7777777777777777
Internet,4.555555555555555
Web Development,1.8888888888888888
Miscellaneous,0.2222222222222222
Microsoft .NET,3.7777777777777777
Microsoft,0.8888888888888888
Next Generation Databases,0.1111111111111111
PowerBuilder,0.7777777777777778
Client-Server,1.2222222222222223
Computer Graphics,0.6666666666666666
Object-Oriented Programming,0.4444444444444444
S,0.1111111111111111
Networking,0.7777777777777778
Theory,0.7777777777777778
Programming,1.3333333333333333
Python,0.6666666666666666
Mobile Technology,0.6666666666666666
Business,1.3333333333333333
P,0.1111111111111111
XML,0.4444444444444444
Perl,0.6666666666666666
java,0.1111111111111111
Microsoft/.NET,0.1111111111111111
Miscella,0.1111111111111111
Object-Technology Programming,0.1111111111111111
,0.2222222222222222
internet,0.1111111111111111
.NET,0.1111111111111111
Algorithmic Art,0.1111111111111111
PHP,0.1111111111111111
SOA,0.1111111111111111
Computer Graph,0.1111111111111111
Client Server,0.1111111111111111
In Action,0.1111111111111111
Software Development,0.1111111111111111
